g	Prefix	Level (cm-1)	Suffix
8	""	"56144.16"	""	
10	""	"56189.45"	""	
8	""	"56356.21"	""	
6	""	"56490.79"	""	
4	""	"56567.93"	""	
2	""	"56666.06"	""	
8	""	"56462.08"	""	
6	""	"56561.95"	""	
4	""	"56601.63"	""	
8	""	"56755.58"	""	
4	""	"56801.4"	"?"	
6	""	"56801.4"	"?"	
8	""	"56801.4"	"?"	
10	""	"56801.4"	"?"	
12	""	"56801.4"	"?"	
2	""	"56867.1"	""	
4	""	"56867.1"	""	
6	""	"56867.1"	""	
8	""	"56867.1"	""	
10	""	"56867.1"	""	
12	""	"56867.1"	""	
8	""	"56926.32"	""	
6	""	"56931.14"	""	
4	""	"56934.17"	""	
6	""	"57086.33"	""	
8	""	"57218.15"	""	
10	""	"57388.90"	""	
2	""	"57228.30"	""	
4	""	"57360.73"	""	
6	""	"57487.05"	""	
8	""	"57305.62"	""	
6	""	"57485.97"	""	
4	""	"57621.90"	""	
2	""	"57705.83"	""	
4	""	"57512.08"	""	
6	""	"57623.33"	""	
8	""	"57624.65"	""	
2	""	"57697.2"	""	
4	""	"57697.2"	""	
6	""	"57697.2"	""	
8	""	"57697.2"	""	
10	""	"57697.2"	""	
12	""	"57697.2"	""	
8	""	"57716.70"	""	
6	""	"57719.70"	""	
4	""	"57722.04"	""	
12	""	"58075.06"	""	
10	""	"58110.24"	""	
8	""	"58136.69"	""	
6	""	"58159.73"	""	
6	""	"58182.24"	""	
8	""	"58182.24"	""	
8	""	"58238.80"	""	
6	""	"58240.80"	""	
4	""	"58242.16"	""	
14	""	"58338.67"	""	
12	""	"58427.30"	""	
10	""	"58485.52"	""	
8	""	"58519.90"	""	
6	""	"58561.18"	""	
8	""	"58561.18"	""	
8	""	"58598.73"	""	
6	""	"58600.33"	""	
4	""	"58600.92"	""	
24	""	"58830.70"	""	
14	""	"58843.39"	""	
12	""	"58851.49"	""	
16	""	"58852.60"	""	
10	""	"58866.66"	""	
8	""	"58856.98"	""	
6	""	"58858.04"	""	
4	""	"58858.48"	""	
24	""	"59029.12"	""	
8	""	"59048.39"	""	
4	""	"59049.00"	""	
6	""	"59049.00"	""	
6	""	"59116.64"	""	
8	""	"59339.49"	""	
2	""	"59527.36"	""	
4	""	"59527.89"	""	
24	""	"59179.38"	""	
8	""	"59193.78"	""	
4	""	"59194.28"	""	
6	""	"59194.28"	""	
10	""	"59257.44"	""	
8	""	"59290.11"	""	
6	""	"59360.67"	""	
4	""	"59416.15"	""	
24	""	"59296.00"	""	
18	""	"59307.46"	""	
4	""	"59384.24"	""	
6	""	"59480.80"	""	
2	""	"59568.29"	""	
24	""	"59388.47"	""	
18	""	"59397.35"	""	
24	""	"59462.48"	""	
8	""	"59470.14"	""	
4	""	"59989.77"	""	
6	""	"60101.65"	""	
2	""	"60141.98"	""	
18	""	"59470.31"	""	
24	""	"59523.45"	""	
18	""	"59529.21"	""	
24	""	"59573.79"	""	
18	""	"59578.37"	""	
6	""	"59600.35"	""	
4	""	"60395.64"	""	
24	""	"59615.5"	""	
14	""	"59617.12"	""	
12	""	"59827.88"	""	
18	""	"59619.60"	""	
24	""	"59650.9"	""	
12	""	"59652.90"	""	
10	""	"59731.94"	""	
8	""	"59784.31"	""	
6	""	"59817.70"	""	
18	""	"59654.46"	""	
24	""	"59681.2"	""	
18	""	"59684.25"	""	
18	""	"59709.85"	""	
18	""	"59732.03"	""	
18	""	"59751.41"	""	
18	""	"59768.39"	""	
18	""	"59783.42"	""	
18	""	"59796.72"	""	
18	""	"59808.57"	""	
18	""	"59819.14"	""	
18	""	"59828.61"	""	
18	""	"59837.27"	""	
18	""	"59845.04"	""	
18	""	"59851.99"	""	
18	""	"59858.47"	""	
18	""	"59864.44"	""	
18	""	"59869.65"	""	
18	""	"59874.55"	""	
18	""	"59879.04"	""	
18	""	"59883.26"	""	
18	""	"59887.06"	""	
	""	"59959.560"	""	
10	""	"60668.49"	""	
8	""	"60739.42"	""	
4	""	"60760.87"	""	
6	""	"60820.35"	""	
8	""	"60902.80"	""	
10	""	"60938.97"	""	
14	""	"60891.48"	""	
12	""	"60933.73"	""	
10	""	"60955.88"	""	
8	""	"60957.21"	""	
16	""	"61204.54"	""	
10	""	"61211.43"	""	
14	""	"61225.55"	""	
12	""	"61225.77"	""	
12	""	"61469.21"	""	
10	""	"61714.52"	""	
8	""	"62034.04"	""	
6	""	"62075.55"	""	
6	""	"61469.7"	""	
8	""	"61480.6"	""	
10	""	"61485.34"	""	
8	""	"61785.94"	""	
8	""	"61710.98"	""	
6	""	"61727.28"	""	
12	""	"61744.04"	""	
12	""	"61713.62"	""	
10	""	"62030.18"	""	
8	""	"62294.66"	""	
6	""	"62905.81"	""	
4	""	"63083.24"	""	
12	""	"61819.07"	""	
18	""	"61870.6"	""	
14	""	"61912.57"	""	
14	""	"62001.09"	""	
12	""	"62134.45"	""	
10	""	"62300.63"	""	
8	""	"62426.48"	""	
6	""	"62514.59"	""	
4	""	"62573.11"	""	
12	""	"62295.36"	""	
10	""	"62479.04"	""	
8	""	"62632.77"	""	
6	""	"62753.37"	""	
4	""	"62354.76"	""	
2	""	"62391.05"	""	
4	""	"62390.20"	""	
10	""	"62392.82"	""	
6	""	"62486.99"	""	
8	""	"62505.14"	""	
10	""	"62670.81"	""	
6	""	"62760.73"	""	
2	""	"62768.16"	""	
4	""	"62787.11"	""	
8	""	"62851.24"	""	
6	""	"63081.28"	""	
4	""	"63114.11"	""	
6	""	"63139.70"	""	
10	""	"63231.43"	""	
8	""	"63424.00"	""	
12	""	"63288.78"	""	
10	""	"63548.49"	""	
8	""	"63288.78"	""	
10	""	"63347.91"	""	
12	""	"63449.13"	""	
14	""	"63363.54"	""	
8	""	"63395.45"	""	
10	""	"63444.61"	""	
12	""	"63457.85"	""	
6	""	"63371.58"	""	
10	""	"63374.53"	""	
6	""	"63522.98"	""	
8	""	"63546.30"	""	
4	""	"63583.04"	""	
6	""	"63764.64"	""	
4	""	"63845.32"	""	
12	""	"64051.91"	""	
10	""	"64055.37"	""	
8	""	"64409.69"	""	
2	""	"64638.68"	""	
4	""	"64683.95"	""	
6	""	"64712.94"	""	
10	""	"64585.44"	""	
8	""	"64649.20"	""	
10	""	"65262.28"	""	
14	""	"64731.88"	""	
12	""	"64819.53"	""	
10	""	"64888.00"	""	
8	""	"64920.33"	""	
18	""	"64806.7"	""	
6	""	"64823.12"	""	
8	""	"64988.22"	""	
8	""	"65305.13"	""	
8	""	"65616.6"	""	
6	""	"65649.13"	"?"	
10	""	"65768.81"	""	
6	""	"65873.40"	""	
8	""	"65876.34"	""	
12	""	"65887.31"	""	
10	""	"65908.92"	""	
6	""	"65946.59"	""	
4	""	"65961.90"	""	
6	""	"66020.63"	""	
8	""	"66149.10"	""	
8	""	"66334.47"	""	
10	""	"66356.40"	""	
12	""	"66418.55"	""	
14	""	"66568.58"	""	
6	""	"66395.19"	""	
8	""	"66454.27"	""	
4	""	"66504.85"	""	
10	""	"66522.62"	""	
12	""	"66573.60"	""	
8	""	"66600.17"	""	
6	""	"66654.29"	""	
10	""	"66630.92"	""	
8	""	"66737.82"	""	
8	""	"66783.50"	""	
6	""	"66837.16"	""	
4	""	"66840.80"	""	
10	""	"66855.00"	""	
6	""	"66910.54"	""	
8	""	"66981.30"	""	
6	""	"67008.29"	""	
18	""	"67102.24"	""	
12	""	"67504.90"	""	
10	""	"67576.84"	""	
18	""	"67655.82"	""	
12	""	"67752.84"	""	
10	""	"67819.17"	""	
8	""	"67891.36"	""	
6	""	"67965.5"	""	
	""	"67890."	""	
18	""	"68030.45"	""	
10	""	"68286.44"	""	
8	""	"68338.59"	""	
18	""	"68306.90"	""	
18	""	"68504.09"	""	
18	""	"68653.55"	""	
12	""	"68693.02"	""	
10	""	"68716.22"	""	
18	""	"68769.60"	""	
16	""	"68797.56"	"?"	
14	""	"68842.52"	"?"	
18	""	"68861.62"	""	
18	""	"68935.81"	""	
18	""	"68996.34"	""	
18	""	"69046.48"	""	
18	""	"69088.46"	""	
18	""	"69123.86"	""	
18	""	"69154.06"	""	
18	""	"69180.09"	""	
18	""	"69202.62"	""	
18	""	"69222.26"	""	
18	""	"69239.43"	""	
18	""	"69254.71"	""	
18	""	"69268.20"	""	
18	""	"69290.90"	""	
18	""	"69300.47"	""	
18	""	"69309.19"	""	
18	""	"69317.00"	""	
18	""	"69324.14"	""	
18	""	"69330.63"	""	
18	""	"69336.53"	""	
18	""	"69341.93"	""	
18	""	"69346.93"	""	
18	""	"69351.55"	""	
18	""	"69355.70"	""	
18	""	"69359.55"	""	
18	""	"69363.22"	""	
18	""	"69366.57"	""	
18	""	"69369.73"	""	
18	""	"69372.64"	""	
18	""	"69375.38"	""	
18	""	"69377.84"	""	
18	""	"69380.20"	""	
18	""	"69382.29"	""	
18	""	"69384.33"	""	
18	""	"69386.06"	""	
18	""	"69387.87"	""	
18	""	"69389.63"	""	
18	""	"69391.23"	""	
18	""	"69392.59"	""	
	""	"69432.37"	""	
14	""	"69560.88"	"?"	
12	""	"69629.85"	"?"	
10	""	"69663.20"	"?"	
12	""	"69722.96"	""	
18	""	"69820.20"	""	
