g	Prefix	Level (cm-1)	Suffix
6	""	"304609"	""	
6	""	"304767"	""	
4	""	"304825"	""	
6	""	"304942"	""	
2	""	"305047"	""	
6	""	"305143"	""	
6	""	"305214"	""	
6	""	"305232"	""	
4	""	"305319"	""	
4	""	"305357"	""	
6	""	"305407"	""	
4	""	"305506"	""	
6	""	"305562"	""	
4	""	"305647"	""	
2	""	"305689"	""	
4	""	"305764"	""	
4	""	"305848"	""	
6	""	"305897"	""	
4	""	"305963"	""	
6	""	"306116"	""	
2	""	"306168"	""	
6	""	"306269"	""	
4	""	"306326"	""	
	""	"306373.77"	""	
6	""	"306443"	""	
2	""	"306524"	""	
2	""	"306712"	""	
6	""	"306899"	""	
2	""	"307031"	""	
2	""	"307112"	""	
	""	"307139.07"	""	
2	""	"307204"	""	
2	""	"307267"	""	
2	""	"307312"	""	
2	""	"307352"	""	
2	""	"307403"	""	
6	""	"307524"	""	
	""	"307731.07"	""	
6	""	"307802"	""	
6	""	"308195"	""	
6	""	"308378"	""	
6	""	"308641"	""	
6	""	"308773"	""	
6	""	"308948"	""	
6	""	"309044"	""	
6	""	"309173"	""	
6	""	"309247"	""	
6	""	"309346"	""	
6	""	"309403"	""	
6	""	"309473"	""	
6	""	"309524"	""	
6	""	"309588"	""	
6	""	"309613"	""	
6	""	"309693"	""	
6	""	"309751"	""	
6	""	"309799"	""	
6	""	"309837"	""	
6	""	"309885"	""	
6	""	"309914"	""	
	""	"310212.41"	""	
4	""	"310981"	""	
2	""	"312356"	""	
6	""	"323830"	""	
6	""	"326840"	""	
6	""	"329865"	""	
6	""	"331379"	""	
6	""	"332292"	""	
6	""	"332502"	""	
6	""	"332863"	""	
6	""	"333059"	""	
6	""	"333240"	""	
6	""	"333518"	""	
6	""	"333728"	""	
6	""	"333866"	""	
6	""	"333985"	""	
6	""	"334044"	""	
6	""	"334085"	""	
6	""	"334169"	""	
6	""	"334213"	""	
6	""	"334616"	""	
6	""	"336010"	""	
6	""	"336259"	""	
6	""	"336723"	""	
6	""	"337257"	""	
6	""	"337418"	""	
6	""	"338149"	""	
6	""	"338169"	""	
6	""	"338301"	""	
6	""	"338845"	""	
6	""	"338857"	""	
6	""	"338995"	""	
6	""	"339248"	""	
6	""	"339271"	""	
6	""	"339512"	""	
6	""	"339570"	""	
6	""	"339628"	""	
6	""	"339928"	""	
6	""	"339928"	""	
6	""	"340171"	""	
6	""	"340194"	""	
6	""	"340379"	""	
6	""	"340402"	""	
6	""	"340553"	""	
6	""	"340553"	""	
6	""	"340669"	""	
6	""	"340704"	""	
6	""	"340762"	""	
6	""	"340820"	""	
6	""	"340948"	""	
6	""	"341018"	""	
6	""	"341111"	""	
6	""	"341200"	""	
6	""	"341380"	""	
6	""	"341410"	""	
6	""	"341530"	""	
6	""	"342614"	""	
6	""	"345479"	""	
6	""	"347026"	""	
6	""	"347923"	""	
6	""	"348500"	""	
6	""	"348893"	""	
6	""	"349166"	""	
6	""	"349382"	""	
6	""	"349516"	""	
6	""	"349638"	""	
6	""	"349736"	""	
6	""	"349822"	""	
6	""	"349871"	""	
6	""	"349932"	""	
6	""	"349981"	""	
6	""	"350005"	""	
4	""	"350016"	""	
6	""	"350447"	""	
6	""	"351753"	""	
6	""	"355619"	""	
6	""	"360826"	""	
6	""	"361126"	""	
6	""	"361418"	""	
4	""	"362050"	""	
6	""	"362201"	""	
6	""	"362858"	""	
6	""	"364766"	""	
6	""	"364990"	""	
4	""	"366205"	""	
6	""	"366206"	""	
6	""	"366425"	""	
6	""	"366932"	""	
6	""	"367215"	""	
6	""	"367404"	""	
6	""	"367954"	""	
4	""	"368287"	""	
6	""	"368745"	""	
6	""	"368745"	""	
6	""	"368949"	""	
6	""	"369031"	""	
6	""	"369331"	""	
4	""	"369454"	""	
6	""	"369645"	""	
6	""	"369992"	""	
6	""	"370096"	""	
4	""	"370137"	""	
6	""	"370206"	""	
6	""	"370288"	""	
6	""	"370535"	""	
6	""	"370631"	""	
4	""	"370645"	""	
6	""	"370824"	""	
6	""	"370906"	""	
6	""	"371016"	""	
6	""	"371016"	""	
6	""	"371237"	""	
6	""	"371237"	""	
6	""	"371443"	""	
6	""	"371471"	""	
6	""	"371554"	""	
6	""	"371568"	""	
6	""	"371664"	""	
6	""	"371830"	""	
6	""	"371941"	""	
6	""	"371941"	""	
6	""	"371941"	""	
6	""	"372148"	""	
6	""	"372218"	""	
6	""	"372273"	""	
6	""	"372398"	""	
6	""	"372550"	""	
6	""	"372606"	""	
6	""	"372662"	""	
6	""	"372759"	""	
6	""	"372800"	""	
6	""	"373051"	""	
6	""	"373176"	""	
6	""	"373371"	""	
6	""	"373455"	""	
6	""	"373608"	""	
6	""	"373636"	""	
6	""	"373776"	""	
6	""	"373916"	""	
6	""	"374000"	""	
6	""	"374070"	""	
6	""	"535330"	""	
6	""	"546600"	""	
6	""	"559600"	""	
	""	"572350"	""	
	""	"575750"	""	
6	""	"586200"	""	
6	""	"591400"	""	
6	""	"594600"	""	
6	""	"596400"	""	
6	""	"600000"	""	
6	""	"618900"	""	
6	""	"629700"	""	
6	""	"636600"	""	
