Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3d6.(5D).4s (6D).5p"	"n 7F*"	"5"	11	""	"50052.194"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7F*"	"4"	9	""	"50303.225"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7F*"	"3"	7	""	"50433.025"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7F*"	"2"	5	""	"50555.762"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7F*"	"1"	3	""	"50627.436"	""	"0.002"	""	""
"3d6.(5D).4s (6D).5p"	"n 7F*"	"0"	1	""	"50659.683"	""	"0.002"	""	""
"3d7.(2P).4p"	"w 3P*"	"0"	1	""	"49951.344"	""	"0.002"	""	""
"3d7.(2P).4p"	"w 3P*"	"1"	3	""	"50043.213"	""	"0.001"	"1.389"	""
"3d7.(2P).4p"	"w 3P*"	"2"	5	""	"50186.834"	""	"0.001"	"1.469"	""
"3d6.(5D).4s (6D).5p"	"n 7P*"	"4"	9	""	"50185.743"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7P*"	"3"	7	""	"50628.372"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7P*"	"2"	5	""	"50901.172"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"e 7F"	"6"	13	""	"50342.129"	""	"0.001"	"1.490"	""
"3d6.(5D).4s (6D).4d"	"e 7F"	"5"	11	""	"50833.438"	""	"0.001"	"1.505"	""
"3d6.(5D).4s (6D).4d"	"e 7F"	"3"	7	""	"51148.848"	""	"0.001"	"1.499"	""
"3d6.(5D).4s (6D).4d"	"e 7F"	"4"	9	""	"51192.273"	""	"0.001"	"1.617"	""
"3d6.(5D).4s (6D).4d"	"e 7F"	"1"	3	""	"51207.998"	""	"0.001"	"2.490"	""
"3d6.(5D).4s (6D).4d"	"e 7F"	"2"	5	""	"51331.052"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"f 7D"	"5"	11	""	"50377.908"	""	"0.001"	"1.510"	""
"3d6.(5D).4s (6D).4d"	"f 7D"	"4"	9	""	"50807.997"	""	"0.001"	"1.574"	""
"3d6.(5D).4s (6D).4d"	"f 7D"	"3"	7	""	"50861.816"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"f 7D"	"2"	5	""	"50998.645"	""	"0.001"	"1.844"	""
"3d6.(5D).4s (6D).4d"	"f 7D"	"1"	3	""	"51048.107"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"f 5D"	"4"	9	""	"50423.137"	""	"0.001"	"1.514"	""
"3d6.(5D).4s (6D).4d"	"f 5D"	"3"	7	""	"50534.397"	""	"0.001"	"1.615"	""
"3d6.(5D).4s (6D).4d"	"f 5D"	"2"	5	""	"50698.620"	""	"0.001"	"1.614"	""
"3d6.(5D).4s (6D).4d"	"f 5D"	"1"	3	""	"50880.102"	""	"0.001"	"1.662"	""
"3d6.(5D).4s (6D).4d"	"f 5D"	"0"	1	""	"50981.012"	""	"0.002"	""	""
"3d6.(5D).4s (6D).4d"	"e 7P"	"4"	9	""	"50475.288"	""	"0.001"	"1.585"	""
"3d6.(5D).4s (6D).4d"	"e 7P"	"3"	7	""	"50611.261"	""	"0.001"	"1.687"	""
"3d6.(5D).4s (6D).4d"	"e 7P"	"2"	5	""	"50861.327"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"e 5G"	"6"	13	""	"50522.944"	""	"0.001"	"1.351"	""
"3d6.(5D).4s (6D).4d"	"e 5G"	"5"	11	""	"50703.870"	""	"0.001"	"1.360"	""
"3d6.(5D).4s (6D).4d"	"e 5G"	"4"	9	""	"50979.579"	""	"0.001"	"1.238"	""
"3d6.(5D).4s (6D).4d"	"e 5G"	"3"	7	""	"51219.015"	""	"0.001"	"1.294"	""
"3d6.(5D).4s (6D).4d"	"e 5G"	"2"	5	""	"51370.145"	""	"0.001"	"0.953"	""
"3d7.(2G).4p"	"z 1F*"	"3"	7	""	"50586.878"	""	"0.002"	"1.018"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 1G*"	"4"	9	""	"50613.983"	""	"0.002"	"0.978"	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"7"	15	""	"50651.632"	""	"0.002"	""	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"6"	13	""	"50967.831"	""	"0.001"	"1.415"	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"5"	11	""	"51228.553"	""	"0.001"	"1.379"	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"4"	9	""	"51334.911"	""	"0.001"	"1.338"	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"3"	7	""	"51460.518"	""	"0.001"	"1.244"	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"2"	5	""	"51539.720"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"e 7G"	"1"	3	""	"51566.802"	""	"0.002"	"-0.374"	""
"3d6.(5D).4s (6D).5p"	"u 5F*"	"5"	11	""	"51016.660"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"u 5F*"	"4"	9	""	"51381.457"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"u 5F*"	"3"	7	""	"51619.076"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"u 5F*"	"2"	5	""	"51827.413"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"u 5F*"	"1"	3	""	"51945.817"	""	"0.001"	""	""
"3d6.(3G).4s.4p.(3P*)"	"x 3H*"	"6"	13	""	"51023.162"	""	"0.002"	"1.161"	""
"3d6.(3G).4s.4p.(3P*)"	"x 3H*"	"5"	11	""	"51068.718"	""	"0.002"	"1.038"	""
"3d6.(3G).4s.4p.(3P*)"	"x 3H*"	"4"	9	""	"51409.124"	""	"0.002"	"0.953"	""
"3d6.(5D).4s (6D).5p"	"t 5D*"	"4"	9	""	"51076.628"	""	"0.001"	"1.486"	""
"3d6.(5D).4s (6D).5p"	"t 5D*"	"3"	7	""	"51361.391"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"t 5D*"	"2"	5	""	"51630.001"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"t 5D*"	"1"	3	""	"51827.854"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"t 5D*"	"0"	1	""	"51941.540"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"f 5F"	"5"	11	""	"51103.191"	""	"0.001"	"1.384"	""
"3d6.(5D).4s (6D).4d"	"f 5F"	"4"	9	""	"51461.670"	""	"0.001"	"1.355?"	""
"3d6.(5D).4s (6D).4d"	"f 5F"	"3"	7	""	"51604.103"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"f 5F"	"2"	5	""	"51705.014"	""	"0.001"	"0.967"	""
"3d6.(5D).4s (6D).4d"	"f 5F"	"1"	3	""	"51754.497"	""	"0.001"	""	""
"3d6.(5D).4s (6D).4d"	"e 5S"	"2"	5	""	"51148.910"	""	"0.001"	"1.952"	""
"3d7.(2D2).4p"	"v 3F*"	"2"	5	""	"51201.289"	""	"0.002"	"0.803"	""
"3d7.(2D2).4p"	"v 3F*"	"4"	9	""	"51304.604"	""	"0.001"	"1.122"	""
"3d7.(2D2).4p"	"v 3F*"	"3"	7	""	"51365.311"	""	"0.001"	"1.096"	""
"3d6.(5D).4s (4D).5s"	"e 3D"	"3"	7	""	"51294.220"	""	"0.001"	"1.345"	""
"3d6.(5D).4s (4D).5s"	"e 3D"	"2"	5	""	"51739.920"	""	"0.001"	"1.125"	""
"3d6.(5D).4s (4D).5s"	"e 3D"	"1"	3	""	"52039.892"	""	"0.001"	"0.801"	""
"3d6.(5D).4s (4D).5s"	"g 5D"	"4"	9	""	"51350.492"	""	"0.001"	"1.487"	""
"3d6.(5D).4s (4D).5s"	"g 5D"	"3"	7	""	"51770.557"	""	"0.001"	"1.492"	""
"3d6.(5D).4s (4D).5s"	"g 5D"	"2"	5	""	"52049.823"	""	"0.001"	"1.57?"	""
"3d6.(5D).4s (4D).5s"	"g 5D"	"1"	3	""	"52214.345"	""	"0.001"	""	""
"3d6.(5D).4s (4D).5s"	"g 5D"	"0"	1	""	"52257.346"	""	"0.001"	""	""
"3d7.(2H).4p"	"u 3G*"	"5"	11	""	"51373.910"	""	"0.001"	"1.140"	""
"3d7.(2H).4p"	"u 3G*"	"4"	9	""	"51668.186"	""	"0.002"	"1.067"	""
"3d7.(2H).4p"	"u 3G*"	"3"	7	""	"51825.773"	""	"0.001"	"0.801"	""
"3d6.(5D).4s (6D).4d"	"e 7S"	"3"	7	""	"51570.097"	""	"0.001"	"1.92?"	""
"3d6.(3H).4s.4p.(3P*)"	"1H*"	"5"	11	""	"51630.178"	""	"0.002"	"1.061"	""
"3d6.(5D).4s (6D).5p"	"u 5P*"	"3"	7	""	"51692.010"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"u 5P*"	"2"	5	""	"51944.784"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"u 5P*"	"1"	3	""	"52110.601"	""	"0.002"	"2.633"	""
"3d7.(2P).4p"	"y 1D*"	"2"	5	""	"51708.307"	""	"0.001"	"1.025"	""
"3d6.(3H).4s.4p.(3P*)"	"x 1D*"	"2"	5	""	"51762.076"	""	"0.001"	"0.883"	""
"3d6.(5D).4s (6D).4d"	"e 5P"	"3"	7	""	"51837.238"	""	"0.001"	"1.664"	""
"3d6.(5D).4s (6D).4d"	"e 5P"	"1"	3	""	"52019.669"	""	"0.001"	"2.432"	""
"3d6.(5D).4s (6D).4d"	"e 5P"	"2"	5	""	"52067.469"	""	"0.001"	""	""
"3d7.(2P).4p"	"u 3D*"	"3"	7	""	"51969.101"	""	"0.001"	"1.306"	""
"3d7.(2P).4p"	"u 3D*"	"2"	5	""	"52296.920"	""	"0.002"	"1.156"	""
"3d7.(2P).4p"	"u 3D*"	"1"	3	""	"52512.457"	""	"0.002"	"0.700"	""
"3d7.(2P).4p"	"1P*"	"1"	3	""	"52180.820"	""	"0.002"	"0.801"	""
"3d7.(2D2).4p"	"t 3D*"	"3"	7	""	"52213.230"	""	"0.002"	"1.317"	""
"3d7.(2D2).4p"	"t 3D*"	"2"	5	""	"52682.920"	""	"0.001"	"1.145"	""
"3d7.(2D2).4p"	"t 3D*"	"1"	3	""	"52857.804"	""	"0.002"	"1.246"	""
"3d7.(2H).4p"	"w 3H*"	"6"	13	""	"52431.447"	""	"0.002"	"1.177"	""
"3d7.(2H).4p"	"w 3H*"	"5"	11	""	"52613.090"	""	"0.002"	"1.033"	""
"3d7.(2H).4p"	"w 3H*"	"4"	9	""	"52768.743"	""	"0.003"	"0.810"	""
"3d7.(2H).4p"	"y 3I*"	"6"	13	""	"52513.560"	""	"0.002"	"1.019"	""
"3d7.(2H).4p"	"y 3I*"	"7"	15	""	"52654.992"	""	"0.003"	"1.147"	""
"3d7.(2H).4p"	"y 3I*"	"5"	11	""	"52898.998"	""	"0.003"	"0.830"	""
"3d7.(4F).5p"	"3G*"	"5"	11	""	"52807.001"	""	"0.002"	""	""
"3d7.(4F).5p"	"3G*"	"4"	9	""	"54017.581"	""	"0.002"	""	""
"3d7.(4F).5p"	"3G*"	"3"	7	""	"54357.405"	""	"0.001"	""	""
"3d7.(2D2).4p"	"v 3P*"	"2"	5	""	"52916.295"	""	"0.002"	"1.495"	""
"3d7.(2D2).4p"	"v 3P*"	"1"	3	""	"53229.941"	""	"0.002"	"1.266"	""
"3d6.(3G).4s.4p.(3P*)"	"3F*"	"4"	9	""	"52953.629"	""	"0.001"	""	""
"3d6.(3G).4s.4p.(3P*)"	"3F*"	"3"	7	""	"53357.515"	""	"0.001"	""	""
"3d6.(3G).4s.4p.(3P*)"	"3F*"	"2"	5	""	"53749.405"	""	"0.002"	""	""
"3d7.(4F).4d"	"g 5F"	"5"	11	""	"53061.318"	""	"0.001"	""	""
"3d7.(4F).4d"	"g 5F"	"4"	9	""	"53393.673"	""	"0.001"	""	""
"3d7.(4F).4d"	"g 5F"	"3"	7	""	"53830.975"	""	"0.001"	""	""
"3d7.(4F).4d"	"g 5F"	"2"	5	""	"54257.502"	""	"0.001"	""	""
"3d7.(4F).4d"	"g 5F"	"1"	3	""	"54386.186"	""	"0.001"	""	""
"3d7.(4F).5p"	"5G*"	"6"	13	""	"53069.357"	""	"0.002"	""	""
"3d7.(4F).5p"	"5G*"	"5"	11	""	"53586.510"	""	"0.002"	""	""
"3d7.(4F).5p"	"5G*"	"4"	9	""	"53852.114"	""	"0.001"	""	""
"3d7.(4F).5p"	"5G*"	"3"	7	""	"54134.655"	""	"0.002"	""	""
"3d7.(4F).5p"	"5G*"	"2"	5	""	"54257.679"	""	"0.002"	""	""
"3d7.(4F).5p"	"5F*"	"5"	11	""	"53084.789"	""	"0.001"	""	""
"3d7.(4F).5p"	"5F*"	"4"	9	""	"53388.637"	""	"0.001"	""	""
"3d7.(4F).5p"	"5F*"	"3"	7	""	"53661.079"	""	"0.001"	"1.21?"	""
"3d7.(4F).5p"	"5F*"	"2"	5	""	"54042.527"	""	"0.002"	""	""
"3d7.(4F).5p"	"5F*"	"1"	3	""	"54224.420"	""	"0.002"	""	""
"3d7.(2H).4p"	"1I*"	"6"	13	""	"53093.529"	""	"0.002"	"1.010"	""
"3d7.(4F).4d"	"h 5D"	"4"	9	""	"53155.145"	""	"0.001"	"1.435"	""
"3d7.(4F).4d"	"h 5D"	"3"	7	""	"53545.833"	""	"0.001"	""	""
"3d7.(4F).4d"	"h 5D"	"2"	5	""	"53966.662"	""	"0.001"	""	""
"3d7.(4F).4d"	"h 5D"	"1"	3	""	"54132.551"	""	"0.001"	""	""
"3d7.(4F).4d"	"f 5P"	"3"	7	""	"53160.593"	""	"0.001"	""	""
"3d7.(4F).4d"	"f 5P"	"2"	5	""	"53568.751"	""	"0.001"	""	""
"3d7.(4F).4d"	"f 5P"	"1"	3	""	"53925.200"	""	"0.001"	""	""
"3d7.(4F).4d"	"f 5G"	"6"	13	""	"53169.146"	""	"0.001"	"1.323"	""
"3d7.(4F).4d"	"f 5G"	"5"	11	""	"53281.689"	""	"0.001"	"1.221"	""
"3d7.(4F).4d"	"f 5G"	"4"	9	""	"53768.979"	""	"0.001"	""	""
"3d7.(4F).4d"	"f 5G"	"3"	7	""	"54161.139"	""	"0.001"	"1.142"	""
"3d7.(4F).4d"	"f 5G"	"2"	5	""	"54375.677"	""	"0.001"	""	""
"3d7.(4F).4d"	"e 5H"	"7"	15	""	"53275.183"	""	"0.002"	"1.30?"	""
"3d7.(4F).4d"	"e 5H"	"6"	13	""	"53352.989"	""	"0.001"	"1.191"	""
"3d7.(4F).4d"	"e 5H"	"5"	11	""	"53874.257"	""	"0.001"	"1.102"	""
"3d7.(4F).4d"	"e 5H"	"4"	9	""	"54237.213"	""	"0.002"	"0.90?"	""
"3d7.(4F).4d"	"e 5H"	"3"	7	""	"54490.999"	""	"0.001"	"0.484"	""
"3d6.(3G).4s.4p.(3P*)"	"y 1H*"	"5"	11	""	"53313.438"	""	"0.003"	"1.03?"	""
"3d7.(4F).5p"	"3F*"	"4"	9	""	"53328.835"	""	"0.001"	""	""
"3d7.(4F).5p"	"3F*"	"3"	7	""	"54289.034"	""	"0.001"	""	""
"3d7.(4F).5p"	"3F*"	"2"	5	""	"54706.387"	""	"0.002"	""	""
"3d7.(4F).5p"	"5D*"	"4"	9	""	"53610.412"	""	"0.001"	""	""
"3d7.(4F).5p"	"5D*"	"3"	7	""	"53784.750"	""	"0.002"	""	""
"3d7.(4F).5p"	"5D*"	"2"	5	""	"54530.653"	""	"0.002"	""	""
"3d7.(4F).5p"	"5D*"	"1"	3	""	"54603.140"	""	"0.001"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5F*"	"1"	3	""	"53696.867"	""	"0.004"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5F*"	"2"	5	""	"53723.079"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5F*"	"3"	7	""	"53733.594"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5F*"	"4"	9	""	"53881.806"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5F*"	"5"	11	""	"54013.752"	""	"0.002"	"1.356"	""
"3d7.(4F).4d"	"e 3G"	"5"	11	""	"53739.438"	""	"0.001"	"1.248"	""
"3d7.(4F).4d"	"e 3G"	"4"	9	""	"54066.518"	""	"0.001"	"1.096"	""
"3d7.(4F).4d"	"e 3G"	"3"	7	""	"54379.384"	""	"0.001"	"0.842"	""
"3d7.(4F).4d"	"f 3D"	"3"	7	""	"53747.500"	""	"0.001"	"1.258"	""
"3d7.(4F).4d"	"f 3D"	"2"	5	""	"54066.773"	""	"0.001"	""	""
"3d7.(4F).4d"	"f 3D"	"1"	3	""	"54449.347"	""	"0.001"	""	""
"3d7.(2D2).4p"	"x 1F*"	"3"	7	""	"53763.280"	""	"0.002"	"1.079"	""
"3d6.(5D).4s (6D).6s"	"g 7D"	"5"	11	""	"53800.859"	""	"0.001"	"1.586"	""
"3d6.(5D).4s (6D).6s"	"g 7D"	"4"	9	""	"54124.744"	""	"0.001"	"1.65?"	""
"3d6.(5D).4s (6D).6s"	"g 7D"	"3"	7	""	"54404.779"	""	"0.002"	""	""
"3d6.(5D).4s (6D).6s"	"g 7D"	"2"	5	""	"54611.710"	""	"0.002"	""	""
"3d6.(5D).4s (6D).6s"	"g 7D"	"1"	3	""	"54747.598"	""	"0.001"	""	""
"3d7.(2P).4p"	"x 3S*"	"1"	3	""	"53808.356"	""	"0.002"	"1.418"	""
"3d7.(4F).5p"	"3D*"	"3"	7	""	"53837.851"	""	"0.001"	""	""
"3d7.(4F).5p"	"3D*"	"2"	5	""	"54342.779"	""	"0.002"	""	""
"3d7.(4F).5p"	"3D*"	"1"	3	""	"54807.250"	""	"0.002"	""	""
"3d7.(4F).4d"	"e 3H"	"6"	13	""	"53840.620"	""	"0.001"	"1.225"	""
"3d7.(4F).4d"	"e 3H"	"5"	11	""	"54266.716"	""	"0.001"	"1.109"	""
"3d7.(4F).4d"	"e 3H"	"4"	9	""	"54555.418"	""	"0.001"	"0.871"	""
"3d6.(3D).4s.4p.(3P*)"	"5D*"	"3"	7	""	"53891.526"	""	"0.001"	"1.476"	""
"3d6.(3D).4s.4p.(3P*)"	"5D*"	"2"	5	""	"53913.020"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5D*"	"1"	3	""	"53975.744"	""	"0.012"	""	""
"3d6.(3D).4s.4p.(3P*)"	"5D*"	"4"	9	""	"54301.340"	""	"0.001"	""	""
"3d6.(3G).4s.4p.(3P*)"	"t 3G*"	"5"	11	""	"53983.293"	""	"0.003"	"1.234"	""
"3d6.(3G).4s.4p.(3P*)"	"t 3G*"	"4"	9	""	"54237.415"	""	"0.001"	"1.183"	""
"3d6.(3G).4s.4p.(3P*)"	"t 3G*"	"3"	7	""	"54600.350"	""	"0.001"	"0.922"	""
"3d6.(3D).4s.4p.(3P*)"	"t 5P*"	"3"	7	""	"54004.718"	""	"0.001"	""	""
"3d6.(3D).4s.4p.(3P*)"	"t 5P*"	"2"	5	""	"54112.230"	""	"0.001"	"1.70?"	""
"3d6.(3D).4s.4p.(3P*)"	"t 5P*"	"1"	3	""	"54271.062"	""	"0.002"	""	""
"3d6.4s.(6D).6s"	"5D"	"4"	9	""	"54479.902"	""	"0.001"	""	""
"3d6.4s.(6D).6s"	"5D"	"3"	7	""	"54864.831"	""	"0.001"	""	""
"3d6.4s.(6D).6s"	"5D"	"2"	5	""	"55134.168"	""	"0.001"	""	""
"3d6.4s.(6D).6s"	"5D"	"1"	3	""	"55305.627"	""	"0.002"	""	""
"3d6.4s.(6D).6s"	"5D"	"0"	1	""	"55390.520"	""	"0.003"	""	""
"3d7.(4F).4d"	"f 3F"	"4"	9	""	"54683.322"	""	"0.001"	"1.141"	""
"3d7.(4F).4d"	"f 3F"	"3"	7	""	"55124.938"	""	"0.001"	"1.071"	""
"3d7.(4F).4d"	"f 3F"	"2"	5	""	"55378.811"	""	"0.005"	"0.676"	""
"3d6.(3G).4s.4p.(3P*)"	"w 1G*"	"4"	9	""	"54810.856"	""	"0.003"	"1.001"	""
"3d7.(4F).4d"	"e 3P"	"2"	5	""	"54879.683"	""	"0.001"	"1.459"	""
"3d7.(4F).4d"	"e 3P"	"1"	3	""	"55376.090"	""	"0.002"	"1.459"	""
"3d7.(4F).4d"	"e 3P"	"0"	1	""	"55726.52"	"?"	"0.071"	""	""
"3d6.(1G2).4s.4p.(3P*)"	"s 3G*"	"5"	11	""	"55429.819"	""	"0.002"	"1.057"	""
"3d6.(1G2).4s.4p.(3P*)"	"s 3G*"	"3"	7	""	"55790.696"	""	"0.002"	"0.908"	""
"3d6.(1G2).4s.4p.(3P*)"	"s 3G*"	"4"	9	""	"55905.536"	""	"0.003"	""	""
"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"4"	9	""	"55446.008"	""	"0.003"	"0.804"	""
"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"6"	13	""	"55489.742"	""	"0.003"	"1.169"	""
"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"5"	11	""	"55525.562"	""	"0.002"	"1.018"	""
"3d7.(2D2).4p"	"w 1D*"	"2"	5	""	"55754.233"	""	"0.003"	"0.990"	""
"3d7.(2H).4p"	"1H*"	"5"	11	""	"55907.178"	""	"0.002"	"1.145"	""
"3d6.(3G).4s.4p.(3P*)"	"1F*"	"3"	7	""	"56097.836"	""	"0.002"	"0.857"	""
"3d7.(4F).6s"	"5F"	"5"	11	""	"56113.887"	""	"0.001"	""	""
"3d7.(4F).6s"	"5F"	"4"	9	""	"56516.218"	""	"0.002"	""	""
"3d7.(4F).6s"	"5F"	"3"	7	""	"57510.666"	""	"0.004"	""	""
"3d7.(4F).6s"	"5F"	"2"	5	""	"57528.512"	""	"0.002"	""	""
"3d7.(4F).6s"	"5F"	"1"	3	""	"57754.099"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7D*"	"5"	11	""	"56120.331"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"7D*"	"4"	9	""	"56516.744"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7D*"	"3"	7	""	"56555.066"	""	"0.004"	""	""
"3d6.4s.(6D).6p"	"7D*"	"2"	5	""	"56933.382"	""	"0.005"	""	""
"3d6.4s.(6D).6p"	"7D*"	"1"	3	""	"57164.14"	""	"0.005"	""	""
"3d6.4s.(6D).5d"	"5D"	"4"	9	""	"56207.552"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5D"	"3"	7	""	"56337.126"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5D"	"2"	5	""	"56479.463"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5D"	"1"	3	""	"56735.158"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7F*"	"6"	13	""	"56260.982"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7F*"	"5"	11	""	"56502.957"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7F*"	"4"	9	""	"56756.704"	""	"0.004"	""	""
"3d6.4s.(6D).6p"	"7F*"	"3"	7	""	"57026.960"	""	"0.004"	""	""
"3d6.4s.(6D).6p"	"7F*"	"0"	1	""	"57121.604"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7F*"	"2"	5	""	"57140.424"	""	"0.001"	""	""
"3d6.4s.(6D).6p"	"7F*"	"1"	3	""	"57174.430"	""	"0.002"	""	""
"3d6.(1I).4s.4p.(3P*)"	"u 3H*"	"6"	13	""	"56333.960"	""	"0.003"	"1.166"	""
"3d6.(1I).4s.4p.(3P*)"	"u 3H*"	"5"	11	""	"56382.662"	""	"0.002"	"1.029"	""
"3d6.(1I).4s.4p.(3P*)"	"u 3H*"	"4"	9	""	"56423.283"	""	"0.002"	"0.859"	""
"3d6.4s.(6D).5d"	"5G"	"6"	13	""	"56341.860"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5G"	"5"	11	""	"56550.634"	""	"0.001"	""	""
"3d6.4s.(6D).5d"	"5G"	"4"	9	""	"56673.145"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5G"	"3"	7	""	"57055.616"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5G"	"2"	5	""	"57233.843"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7F"	"6"	13	""	"56427.977"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7F"	"5"	11	""	"56842.733"	""	"0.001"	""	""
"3d6.4s.(6D).5d"	"7F"	"2"	5	""	"57029.614"	""	"0.003"	""	""
"3d6.4s.(6D).5d"	"7F"	"3"	7	""	"57084.281"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7F"	"1"	3	""	"57213.744"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7F"	"4"	9	""	"57307.320"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7D"	"5"	11	""	"56432.021"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7D"	"4"	9	""	"56452.018"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7D"	"2"	5	""	"56842.811"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7D"	"1"	3	""	"57004.359"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7D"	"3"	7	""	"57070.371"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7P"	"3"	7	""	"56462.016"	""	"0.003"	""	""
"3d6.4s.(6D).5d"	"7P"	"4"	9	""	"56844.475"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7P"	"2"	5	""	"57291.238"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7G"	"7"	15	""	"56536.048"	""	"0.003"	""	""
"3d6.4s.(6D).5d"	"7G"	"6"	13	""	"56874.916"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7G"	"5"	11	""	"57126.823"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7G"	"4"	9	""	"57155.857"	""	"0.001"	""	""
"3d6.4s.(6D).5d"	"7G"	"1"	3	""	"57320.347"	""	"0.003"	""	""
"3d6.4s.(6D).5d"	"7G"	"3"	7	""	"57361.366"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"7G"	"2"	5	""	"57450.664"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"7P*"	"4"	9	""	"56541.596"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"7P*"	"3"	7	""	"56888.423"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"7P*"	"2"	5	""	"57190.212"	""	"0.002"	""	""
"3d6.(1G2).4s.4p.(3P*)"	"u 3F*"	"4"	9	""	"56592.703"	""	"0.002"	"1.148"	""
"3d6.(1G2).4s.4p.(3P*)"	"u 3F*"	"3"	7	""	"56783.322"	""	"0.002"	"1.077"	""
"3d6.(1G2).4s.4p.(3P*)"	"u 3F*"	"2"	5	""	"56858.653"	""	"0.003"	"0.687"	""
"3d6.4s.(6D).6p"	"5F*"	"5"	11	""	"56707.284"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"5F*"	"4"	9	""	"57064.346"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"5F*"	"3"	7	""	"57343.828"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"5F*"	"1"	3	""	"57546.481"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"5F*"	"2"	5	""	"57572.513"	""	"0.002"	""	""
