Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"3"	7	""	"31322.613"	""	"0.001"	"1.321"	""
"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"2"	5	""	"31686.351"	""	"0.001"	"1.168"	""
"3d6.(5D).4s.4p.(3P*)"	"z 3D*"	"1"	3	""	"31937.325"	""	"0.001"	"0.513"	""
"3d8"	"c 3F"	"4"	9	""	"32873.632"	""	"0.001"	"1.264"	""
"3d8"	"c 3F"	"3"	7	""	"33412.717"	""	"0.001"	"1.066"	""
"3d8"	"c 3F"	"2"	5	""	"33765.306"	""	"0.001"	"0.677"	""
"3d7.(4F).4p"	"y 5D*"	"4"	9	""	"33095.941"	""	"0.001"	"1.496"	""
"3d7.(4F).4p"	"y 5D*"	"3"	7	""	"33507.123"	""	"0.001"	"1.492"	""
"3d7.(4F).4p"	"y 5D*"	"2"	5	""	"33801.572"	""	"0.001"	"1.495"	""
"3d7.(4F).4p"	"y 5D*"	"1"	3	""	"34017.103"	""	"0.001"	"1.492"	""
"3d7.(4F).4p"	"y 5D*"	"0"	1	""	"34121.603"	""	"0.001"	""	""
"3d7.(4F).4p"	"y 5F*"	"5"	11	""	"33695.397"	""	"0.001"	"1.417"	""
"3d7.(4F).4p"	"y 5F*"	"4"	9	""	"34039.516"	""	"0.001"	"1.344"	""
"3d7.(4F).4p"	"y 5F*"	"3"	7	""	"34328.752"	""	"0.001"	"1.244"	""
"3d7.(4F).4p"	"y 5F*"	"2"	5	""	"34547.211"	""	"0.001"	"0.998"	""
"3d7.(4F).4p"	"y 5F*"	"1"	3	""	"34692.148"	""	"0.001"	"-0.016"	""
"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"2"	5	""	"33946.933"	""	"0.001"	"1.493"	""
"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	3	""	"34362.873"	""	"0.001"	"1.496"	""
"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"0"	1	""	"34555.597"	""	"0.001"	""	""
"3d6.4s2"	"b 1D2"	"2"	5	""	"34636.792"	""	"0.001"	""	""
"3d7.(4F).4p"	"z 5G*"	"5"	11	""	"34782.421"	""	"0.001"	"1.218"	""
"3d7.(4F).4p"	"z 5G*"	"6"	13	""	"34843.957"	""	"0.002"	"1.332"	""
"3d7.(4F).4p"	"z 5G*"	"4"	9	""	"35257.324"	""	"0.001"	"1.103"	""
"3d7.(4F).4p"	"z 5G*"	"3"	7	""	"35611.625"	""	"0.001"	"0.887"	""
"3d7.(4F).4p"	"z 5G*"	"2"	5	""	"35856.402"	""	"0.001"	"0.335"	""
"3d7.(4F).4p"	"z 3G*"	"5"	11	""	"35379.208"	""	"0.001"	"1.248"	""
"3d7.(4F).4p"	"z 3G*"	"4"	9	""	"35767.564"	""	"0.001"	"1.100"	""
"3d7.(4F).4p"	"z 3G*"	"3"	7	""	"36079.372"	""	"0.001"	"0.791"	""
"3d7.(4F).4p"	"y 3F*"	"4"	9	""	"36686.176"	""	"0.001"	"1.246"	""
"3d7.(4F).4p"	"y 3F*"	"3"	7	""	"37162.746"	""	"0.001"	"1.086"	""
"3d7.(4F).4p"	"y 3F*"	"2"	5	""	"37521.161"	""	"0.001"	"0.688"	""
"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"3"	7	""	"36766.966"	""	"0.001"	"1.661"	""
"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"2"	5	""	"37157.566"	""	"0.001"	"1.836"	""
"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"1"	3	""	"37409.555"	""	"0.001"	"2.502"	""
"3d7.(2F).4s"	"d 3F"	"2"	5	""	"36940.590"	""	"0.001"	""	""
"3d7.(2F).4s"	"d 3F"	"3"	7	""	"36975.588"	""	"0.001"	""	""
"3d7.(2F).4s"	"d 3F"	"4"	9	""	"37045.934"	""	"0.001"	""	""
"3d7.(4F).4p"	"y 3D*"	"3"	7	""	"38175.355"	""	"0.001"	"1.324"	""
