Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3p6.18d"	"2D"	"3/2"	4	""	"34660.5772"	""	"0.0007"	""	"L5451"
"3p6.20s"	"2S"	"1/2"	2	""	"34664.2161"	""	"0.0007"	""	"L5451"
"3p6.20p"	"2P*"	"3/2"	4	""	"34681.7220"	""	"0.003"	""	"L5783"
"3p6.19d"	"2D"	"5/2"	6	""	"34696.8629"	""	"0.0007"	""	"L5451"
"3p6.19d"	"2D"	"3/2"	4	""	"34696.8689"	""	"0.0007"	""	"L5451"
"3p6.21s"	"2S"	"1/2"	2	""	"34699.9692"	""	"0.0007"	""	"L5451"
"3p6.21p"	"2P*"	"3/2"	4	""	"34714.8646"	""	"0.003"	""	"L5783"
"3p6.20d"	"2D"	"5/2"	6	""	"34727.7798"	""	"0.0007"	""	"L5451"
"3p6.20d"	"2D"	"3/2"	4	""	"34727.7849"	""	"0.0007"	""	"L5451"
"3p6.22s"	"2S"	"1/2"	2	""	"34730.4476"	""	"0.0007"	""	"L5451"
"3p6.21d"	"2D"	"5/2"	6	""	"34754.3327"	""	"0.0007"	""	"L5451"
"3p6.21d"	"2D"	"3/2"	4	""	"34754.3371"	""	"0.0007"	""	"L5451"
"3p6.23s"	"2S"	"1/2"	2	""	"34756.6407"	""	"0.0007"	""	"L5451"
"3p6.22d"	"2D"	"5/2"	6	""	"34777.3058"	""	"0.0007"	""	"L5451"
"3p6.22d"	"2D"	"3/2"	4	""	"34777.3096"	""	"0.0007"	""	"L5451"
"3p6.24s"	"2S"	"1/2"	2	""	"34779.3147"	""	"0.0007"	""	"L5451"
"3p6.23d"	"2D"	"5/2"	6	""	"34797.3141"	""	"0.0007"	""	"L5451"
"3p6.23d"	"2D"	"3/2"	4	""	"34797.3174"	""	"0.0007"	""	"L5451"
"3p6.25s"	"2S"	"1/2"	2	""	"34799.0740"	""	"0.0007"	""	"L5451"
"3p6.24d"	"2D"	"5/2"	6	""	"34814.8472"	""	"0.0007"	""	"L5451"
"3p6.24d"	"2D"	"3/2"	4	""	"34814.8502"	""	"0.0007"	""	"L5451"
"3p6.26s"	"2S"	"1/2"	2	""	"34816.3971"	""	"0.0007"	""	"L5451"
"3p6.25d"	"2D"	"5/2"	6	""	"34830.2969"	""	"0.0007"	""	"L5451"
"3p6.25d"	"2D"	"3/2"	4	""	"34830.2994"	""	"0.0007"	""	"L5451"
"3p6.27s"	"2S"	"1/2"	2	""	"34831.6690"	""	"0.0007"	""	"L5451"
"3p6.26d"	"2D"	"5/2"	6	""	"34843.9804"	""	"0.0007"	""	"L5451"
"3p6.26d"	"2D"	"3/2"	4	""	"34843.9827"	""	"0.0007"	""	"L5451"
"3p6.28s"	"2S"	"1/2"	2	""	"34845.2004"	""	"0.0007"	""	"L5451"
"3p6.27d"	"2D"	"5/2"	6	""	"34856.1570"	""	"0.0007"	""	"L5451"
"3p6.27d"	"2D"	"3/2"	4	""	"34856.1590"	""	"0.0007"	""	"L5451"
"3p6.29s"	"2S"	"1/2"	2	""	"34857.2470"	""	"0.0007"	""	"L5451"
"3p6.28d"	"2D"	"5/2"	6	""	"34867.0404"	""	"0.0007"	""	"L5451"
"3p6.28d"	"2D"	"3/2"	4	""	"34867.0423"	""	"0.0007"	""	"L5451"
"3p6.30s"	"2S"	"1/2"	2	""	"34868.0180"	""	"0.0007"	""	"L5451"
